term,gene
ko04013,R120098030
ko04014,R120098030
ko04015,R120098030
ko04024,R120098030
ko04062,R120098030
ko04071,R120098030
ko04145,R120098030
ko04151,R120098030
ko04310,R120098030
ko04360,R120098030
ko04361,R120098030
ko04370,R120098030
ko04380,R120098030
ko04510,R120098030
ko04520,R120098030
ko04530,R120098030
ko04613,R120098030
ko04620,R120098030
ko04650,R120098030
ko04662,R120098030
ko04664,R120098030
ko04666,R120098030
ko04670,R120098030
ko04722,R120098030
ko04810,R120098030
ko04932,R120098030
ko04933,R120098030
ko04972,R120098030
ko05014,R120098030
ko05020,R120098030
ko05022,R120098030
ko05100,R120098030
ko05120,R120098030
ko05130,R120098030
ko05131,R120098030
ko05132,R120098030
ko05135,R120098030
ko05163,R120098030
ko05167,R120098030
ko05169,R120098030
ko05170,R120098030
ko05200,R120098030
ko05203,R120098030
ko05205,R120098030
ko05210,R120098030
ko05211,R120098030
ko05212,R120098030
ko05231,R120098030
ko05416,R120098030
ko05418,R120098030
ko00010,R120092030
ko00710,R120092030
ko01100,R120092030
ko01110,R120092030
ko01120,R120092030
ko01200,R120092030
ko01230,R120092030
ko04066,R120092030
ko00071,R120220990
ko00410,R120220990
ko00592,R120220990
ko00640,R120220990
ko01040,R120220990
ko01100,R120220990
ko01110,R120220990
ko01200,R120220990
ko01212,R120220990
ko03320,R120220990
ko04024,R120220990
ko04146,R120220990
ko00190,R120307960
ko01100,R120307960
ko04714,R120307960
ko04723,R120307960
ko04932,R120307960
ko05010,R120307960
ko05012,R120307960
ko05014,R120307960
ko05016,R120307960
ko05020,R120307960
ko05022,R120307960
ko04138,R120311960
ko04974,R120311960
ko04010,R120220580
ko03010,R120228740
ko05171,R120228740
ko04075,R120061440
ko00270,R120093830
ko01100,R120093830
ko01110,R120093830
ko01230,R120093830
ko01240,R120093830
ko04011,R120169930
ko04111,R120169930
ko00040,R120295820
ko01100,R120295820
ko02020,R120295820
ko00220,R120030930
ko00250,R120030930
ko00630,R120030930
ko00910,R120030930
ko01100,R120030930
ko01120,R120030930
ko01230,R120030930
ko02020,R120030930
ko04217,R120030930
ko04724,R120030930
ko04727,R120030930
ko04391,R120147350
ko00908,R120144570
ko01110,R120144570
ko03022,R120273440
ko05203,R120273440
ko04626,R120318910
ko03018,R120092440
ko04212,R120092440
ko04940,R120092440
ko05134,R120092440
ko05152,R120092440
ko00970,R120109910
ko04115,R120133780
ko00062,R120205910
ko01100,R120205910
ko01110,R120205910
ko04626,R120205910
ko03013,R120337140
ko05160,R120337140
ko04141,R120139940
ko00051,R120291020
ko00561,R120291020
ko00680,R120291020
ko01100,R120291020
ko01120,R120291020
ko01200,R120291020
ko04622,R120291020
ko00908,R120349890
ko04130,R120033850
ko04145,R120033850
ko03040,R120199550
ko04626,R120205830
ko00040,R120089270
ko01100,R120089270
ko02020,R120089270
ko03018,R120116960
ko00500,R120249990
ko01100,R120249990
ko02020,R120249990
ko04013,R120109980
ko04115,R120109980
ko04120,R120109980
ko04310,R120109980
ko04712,R120281780
ko00073,R120254740
ko00940,R120007840
ko01100,R120007840
ko01110,R120007840
ko00941,R120220500
ko01100,R120220500
ko01110,R120220500
ko00561,R120029420
ko01100,R120029420
ko03010,R120054200
ko05171,R120054200
ko05130,R120152910
ko00860,R120362900
ko01100,R120362900
ko01110,R120362900
ko01240,R120362900
ko00562,R120364220
ko01100,R120364220
ko04011,R120364220
ko04070,R120364220
ko04072,R120364220
ko04139,R120364220
ko04144,R120364220
ko04510,R120364220
ko04666,R120364220
ko04810,R120364220
ko05135,R120364220
ko05231,R120364220
ko04110,R120302880
ko04111,R120302880
ko05166,R120302880
ko00480,R120185760
ko00980,R120185760
ko00982,R120185760
ko00983,R120185760
ko01100,R120185760
ko01524,R120185760
ko04212,R120185760
ko05200,R120185760
ko05204,R120185760
ko05225,R120185760
ko05418,R120185760
ko00062,R120359770
ko01100,R120359770
ko01110,R120359770
ko04626,R120359770
ko03460,R120264150
ko00270,R120200490
ko01100,R120200490
ko01110,R120200490
ko04016,R120200490
ko01524,R120020160
ko04978,R120020160
ko03040,R120340290
ko04137,R120261280
ko00130,R120140600
ko00940,R120140600
ko00941,R120140600
ko00945,R120140600
ko01100,R120140600
ko01110,R120140600
ko01220,R120140600
ko04144,R120128000
ko05130,R120237160
ko00520,R120143530
ko01100,R120143530
ko00940,R120356230
ko01100,R120356230
ko01110,R120356230
ko00052,R120218660
ko01100,R120218660
ko03018,R120256650
ko03040,R120256650
ko04612,R120223360
ko05152,R120223360
ko05166,R120223360
ko00250,R120099480
ko01100,R120099480
ko01110,R120099480
ko01230,R120099480
ko03010,R120002740
ko05171,R120002740
ko00195,R120177150
ko00061,R120320100
ko00254,R120320100
ko00620,R120320100
ko00640,R120320100
ko01100,R120320100
ko01110,R120320100
ko01120,R120320100
ko01212,R120320100
ko04152,R120320100
ko04910,R120320100
ko04922,R120320100
ko03022,R120035020
ko05203,R120035020
ko00260,R120326800
ko00270,R120326800
ko00680,R120326800
ko01100,R120326800
ko01110,R120326800
ko01120,R120326800
ko01200,R120326800
ko01230,R120326800
ko00010,R120156410
ko00071,R120156410
ko00350,R120156410
ko00625,R120156410
ko00626,R120156410
ko00830,R120156410
ko00980,R120156410
ko00982,R120156410
ko01100,R120156410
ko01110,R120156410
ko01120,R120156410
ko01220,R120156410
ko04141,R120129320
ko00563,R120174070
ko01100,R120174070
ko00970,R120264960
ko03040,R120272220
ko00940,R120169070
ko01110,R120169070
ko00790,R120111790
ko01100,R120111790
ko01240,R120111790
ko01523,R120111790
ko00940,R120098810
ko01100,R120098810
ko01110,R120098810
ko03010,R120118750
ko05171,R120118750
ko00940,R120177820
ko01100,R120177820
ko01110,R120177820
ko00500,R120203620
ko01100,R120203620
ko01110,R120203620
ko00380,R120281450
ko01100,R120281450
ko00942,R120234740
ko01100,R120234740
ko01110,R120234740
ko00561,R120255760
ko00564,R120255760
ko01100,R120255760
ko01110,R120255760
ko00052,R120242070
ko00500,R120242070
ko01100,R120242070
ko01110,R120242070
ko04626,R120231700
ko05145,R120231700
ko01521,R120333170
ko01522,R120333170
ko01524,R120333170
ko04010,R120333170
ko04011,R120333170
ko04012,R120333170
ko04013,R120333170
ko04014,R120333170
ko04015,R120333170
ko04022,R120333170
ko04024,R120333170
ko04062,R120333170
ko04066,R120333170
ko04068,R120333170
ko04071,R120333170
ko04072,R120333170
ko04111,R120333170
ko04114,R120333170
ko04140,R120333170
ko04150,R120333170
ko04151,R120333170
ko04210,R120333170
ko04214,R120333170
ko04218,R120333170
ko04261,R120333170
ko04270,R120333170
ko04320,R120333170
ko04350,R120333170
ko04360,R120333170
ko04370,R120333170
ko04371,R120333170
ko04380,R120333170
ko04510,R120333170
ko04520,R120333170
ko04540,R120333170
ko04550,R120333170
ko04611,R120333170
ko04613,R120333170
ko04620,R120333170
ko04621,R120333170
ko04625,R120333170
ko04650,R120333170
ko04657,R120333170
ko04658,R120333170
ko04659,R120333170
ko04660,R120333170
ko04662,R120333170
ko04664,R120333170
ko04666,R120333170
ko04668,R120333170
ko04713,R120333170
ko04720,R120333170
ko04722,R120333170
ko04723,R120333170
ko04724,R120333170
ko04725,R120333170
ko04726,R120333170
ko04730,R120333170
ko04810,R120333170
ko04910,R120333170
ko04912,R120333170
ko04914,R120333170
ko04915,R120333170
ko04916,R120333170
ko04917,R120333170
ko04919,R120333170
ko04921,R120333170
ko04926,R120333170
ko04928,R120333170
ko04929,R120333170
ko04930,R120333170
ko04933,R120333170
ko04934,R120333170
ko04935,R120333170
ko04960,R120333170
ko05010,R120333170
ko05020,R120333170
ko05022,R120333170
ko05034,R120333170
ko05130,R120333170
ko05131,R120333170
ko05132,R120333170
ko05133,R120333170
ko05135,R120333170
ko05140,R120333170
ko05142,R120333170
ko05145,R120333170
ko05152,R120333170
ko05160,R120333170
ko05161,R120333170
ko05163,R120333170
ko05164,R120333170
ko05165,R120333170
ko05166,R120333170
ko05167,R120333170
ko05170,R120333170
ko05171,R120333170
ko05200,R120333170
ko05203,R120333170
ko05205,R120333170
ko05206,R120333170
ko05210,R120333170
ko05211,R120333170
ko05212,R120333170
ko05213,R120333170
ko05214,R120333170
ko05215,R120333170
ko05216,R120333170
ko05218,R120333170
ko05219,R120333170
ko05220,R120333170
ko05221,R120333170
ko05223,R120333170
ko05224,R120333170
ko05225,R120333170
